utterance_id,model,reference_length_tokens,rigid_errors,rigid_substitutions,rigid_deletions,rigid_insertions,rigid_wer_percent,lattice_errors,lattice_wer_percent,delta_wer_percent,improved,unchanged,worsened
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model k,6,1,1,0,0,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model l,6,2,2,0,0,33.33333333333333,0.0,0.0,33.33333333333333,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model m,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,Model n,6,1,0,1,0,16.666666666666664,1.0,16.666666666666664,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model H,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model i,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model k,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model l,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model m,6,1,1,0,0,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,Model n,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model H,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model i,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model k,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model l,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model m,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,Model n,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model H,7,1,0,1,0,14.285714285714285,0.0,0.0,14.285714285714285,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model i,7,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model k,7,3,2,1,0,42.857142857142854,0.0,0.0,42.857142857142854,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model l,7,2,1,1,0,28.57142857142857,0.0,0.0,28.57142857142857,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model m,7,2,1,1,0,28.57142857142857,0.0,0.0,28.57142857142857,1,0,0
